Site,Square,AU,Spit,Group,Artno,Material,Colour,Weight,Length,Artclas,Cortex,Cortype,Initiat,Breaks,Noseg,Platwid,Plat,Focal,Overhang,NoDS,NoPS,Rtch,Plat_2,Focal_2,Overhang_2,NoDS_2,NoPS_2,Rtch_2,RetOri,Retype,Retloc,Retlen,Retdep,Portion,Heat,EdgeDam,Weathering,Corerot,RetScNo,Term,Janus,Recycled,Redirect,Usewear?,Width,Thick,Platthic,area,elongation
J,B,1,2,1,93,Chert,Brown,0.06,5.75,Flake,0,,Hertz,,,,Partcoll,,Yes,4,,,Partcoll,,Yes,4,,No,,,,,,,1,,,,,Feather,,,,,7.86,1.83,,45.195,0.731552163
J,B,1,2,1,94,Chert,Grey,0.03,5.36,Flake,0,,Bending,,,3.69,Single,,Yes,1,1,,Single,,Yes,1,1,No,,,,,,,,,,,,Feather,,,,,6.54,0.78,0.6,35.0544,0.819571865
J,B,1,2,1,97,Chert,Grey,0.12,6.97,Flake,0,,Hertz,,,3.75,Single,,No,2,1,,Single,,No,2,1,No,,,,,,,,,,,,Feather,,,,,6.46,2.06,1.87,45.0262,1.078947368
J,B,1,2,1,1901,Chert,Beige,5.43,22.65,Flake,0,,Hertz,,,20.55,Single,,Yes,13,1,,Single,,Yes,13,1,No,,,,,,,,,,,,Feather,,,,,28.38,8.71,8.23,642.807,0.798097252
J,B,1,2,1,4826,Chert,Grey,0.55,13.53,Flake,0,,Hertz,,,,Focal,,Yes,5,,,Focal,,Yes,5,,No,,,,,,,,,,,,Feather,,,,,12.17,3.83,,164.6601,1.111750205
J,B,1,2,1,4827,Chert,Dk Grey,0.13,8.36,Flake,0,,Hertz,,,7.06,Single,,Yes,5,1,,Single,,Yes,5,1,No,,,,,,,1,,,,,Hinge,,,,,8.51,1.42,0.95,71.1436,0.982373678
J,B,1,3,1,105,Chert,Grey,5.17,35.13,RetF,0,,Hertz,,3,6.22,2-scars,,Yes,6,2,Yes,2-scars,,Yes,6,2,Yes,D-V,Percus,Llat,18.59,4.49,,,,,,5,Feather,,,,,21.33,6.49,3.59,749.3229,1.64697609
J,B,1,3,1,106,Chert,Grey,6.88,30.5,Flake,0,,Hertz,,,,Focal,,Yes,9,1,,Focal,,Yes,9,1,No,,,,,,,,,,,,Feather,,,,,25.57,5.52,,779.885,1.192804067
J,B,1,3,1,107,Chert,Grey,2.35,21.25,Flake,0,,Hertz,,,14.07,2-scars,,Yes,7,2,,2-scars,,Yes,7,2,No,,,,,,,,,,,,Feather,,,,,16.38,5.53,6.66,348.075,1.297313797
J,B,1,3,1,108,Chert,Brown,0.18,13.15,Flake,0,,Hertz,,,4.23,Single,,Yes,6,1,,Single,,Yes,6,1,No,,,,,,,,,,,,Feather,,,,,4.87,2.25,1.33,64.0405,2.700205339
J,B,1,3,1,109,Chert,Grey,1.18,21.21,Flake,0,,Hertz,,,8.4,Single,,Yes,5,1,,Single,,Yes,5,1,No,,,,,,,,,,,,Feather,,,,,13.42,3.87,2.55,284.6382,1.5804769
J,B,1,3,1,111,Chert,Lt Brown,0.39,8.18,Flake,0,,Hertz,,,6.08,Single,,No,3,1,,Single,,No,3,1,No,,,,,,,,,,,,Step,,,,,14.23,2.1,2.37,116.4014,0.574841883
J,B,1,3,1,112,Chert,Lt Brown,0.04,5.98,Flake,0,,Hertz,,,,Focal,,No,1,,,Focal,,No,1,,No,,,,,,,,,,,,Feather,,,,,7.85,0.89,,46.943,0.761783439
J,B,1,3,1,113,Chert,Grey,0.03,5.18,Flake,0,,Bending,,,5.84,Single,,No,2,1,,Single,,No,2,1,No,,,,,,,,,,,,Feather,,,,,6.54,0.66,1.21,33.8772,0.79204893
J,B,1,3,1,117,Chert,Brown,0.23,8.08,Flake,0,,Bending,,,6.03,Single,,No,4,1,,Single,,No,4,1,No,,,,,,,,,,,,Feather,,,,,9.72,2.82,2.67,78.5376,0.83127572
J,B,1,3,1,118,Chert,Grey,0.49,11.14,Flake,0,,Hertz,,,7.67,Single,,Yes,5,1,,Single,,Yes,5,1,No,,,,,,,,1,,,,Feather,,,,,9.8,3.37,2.52,109.172,1.136734694
J,B,1,3,1,120,Chert,Grey,2.07,15.26,Flake,100,Angul,Hertz,,,8.02,Partcoll,,No,0,1,,Partcoll,,No,0,1,No,,,,,,,,,,,,Feather,,,,,21.12,7.17,3.16,322.2912,0.722537879
J,B,1,3,1,121,Chert,Yellow,2.51,27.73,Flake,0,,Hertz,,,9.42,2-scars,,No,5,2,,2-scars,,No,5,2,No,,,,,,,,,,,,Feather,,,,,13.37,7.04,2.75,370.7501,2.074046372
J,B,1,3,1,122,Chert,Red,0.12,6.11,Flake,0,,Hertz,,,4.8,Single,,Yes,4,1,,Single,,Yes,4,1,No,,,,,,,,,,,,Feather,,,,,6.34,1.67,3.71,38.7374,0.963722397
J,B,1,3,1,124,Chert,Dk Brown,0.27,9.67,Flake,0,,Hertz,,,8.34,Single,,Yes,2,1,,Single,,Yes,2,1,No,,,,,,,,,,,,Feather,,,,,10.89,2.47,3.2,105.3063,0.887970615
J,B,1,3,1,125,Chert,Grey,0.1,6.74,Flake,0,,Hertz,,,3.3,Single,,Yes,3,1,,Single,,Yes,3,1,No,,,,,,,,,,,,Feather,,,,,8.06,1.82,1.57,54.3244,0.836228288
J,B,1,3,1,126,Chert,Grey,0.96,15.75,Flake,0,,Hertz,,,,Focal,,Yes,7,,,Focal,,Yes,7,,No,,,,,,,,,,,,Hinge,,,,,12.81,4.69,,201.7575,1.229508197
J,B,1,3,1,127,Chert,Pink,0.72,10.46,Flake,0,,Hertz,,,6.66,Single,,Yes,3,1,,Single,,Yes,3,1,No,,,,,,,,,,,,Step,,,,,12.71,3.37,2.15,132.9466,0.822974036
