Site,Square,Spit,Group,Artno,Material,Colour,Weight,Length,Artclas,Cortex,Cortype,Initiat,Breaks,Noseg,Platwid,Plat,Focal,Overhang,NoDS,NoPS,Rtch,Plat_2,Focal_2,Overhang_2,NoDS_2,NoPS_2,Rtch_2,RetOri,Retype,Retloc,Retlen,Retdep,Portion,Heat,EdgeDam,Weathering,Corerot,RetScNo,Term,Janus,Recycled,Redirect,Usewear?,Width,Thick,Platthic,area,elongation,,,,Site,Square,Spit,Group,Artno,Material,Colour,Weight,Length,Artclas,Cortex,Cortype,Initiat,Breaks,Noseg,Platwid,Plat,Focal,Overhang,NoDS,NoPS,Rtch,Plat_2,Focal_2,Overhang_2,NoDS_2,NoPS_2,Rtch_2,RetOri,Retype,Retloc,Retlen,Retdep,Portion,Heat,EdgeDam,Weathering,Corerot,RetScNo,Term,Janus,Recycled,Redirect,Usewear?
J,B,1,1,51,Chert,Lt Brown,0.08,5.07,Shatt,10,Angul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.87,1.4,,29.7609,0.863713799,,,,J,B,1,1,51,Chert,Lt Brown,0.08,5.07,Shatt,10,Angul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,B,1,1,52,Chert,Brown,0.03,5.89,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26,1.93,,19.2014,1.806748466,,,,J,B,1,1,52,Chert,Brown,0.03,5.89,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,B,1,1,53,Chert,Grey,0.03,7.77,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,1.94,,18.2595,3.306382979,,,,J,B,1,1,53,Chert,Grey,0.03,7.77,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,B,1,1,54,Chert,Black,0.03,5.26,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,1.36,,15.6222,1.771043771,,,,J,B,1,1,54,Chert,Black,0.03,5.26,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,B,1,1,55,Chert,Lt Brown,0.13,5.83,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.64,2.84,,32.8812,1.033687943,,,,J,B,1,1,55,Chert,Lt Brown,0.13,5.83,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,B,1,1,56,Chert,Grey,0.09,5.95,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.44,1.7,,32.368,1.09375,,,,J,B,1,1,56,Chert,Grey,0.09,5.95,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,B,1,1,57,Chert,Dk Grey,0.23,11.22,FP,0,,,,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,,4.73,3.35,,53.0706,2.372093023,,,,J,B,1,1,57,Chert,Dk Grey,0.23,11.22,FP,0,,,,,,,,No,,,,,,No,,,,,,,,,,,,,,,,,,,
J,B,1,1,58,Chert,Grey,0.1,6.09,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.27,3.67,,19.9143,1.862385321,,,,J,B,1,1,58,Chert,Grey,0.1,6.09,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,B,1,1,59,Volcanic,Dk Grey,0.43,12.89,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.34,4.09,,94.6126,1.75613079,,,,J,B,1,1,59,Volcanic,Dk Grey,0.43,12.89,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,B,1,1,60,Chert,Grey,0.08,5.26,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26,2.57,,17.1476,1.613496933,,,,J,B,1,1,60,Chert,Grey,0.08,5.26,Shatt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
